100.18,1740.143,1.11,1,11,1.99,"-1000.00, -1000.00, -1000.00"
136.11,5.008,1.14,1,2.99,1.4,"3.70, 7.00, 0.10"
100.21,1740.696,0.9,1,11,2.95,"-1000.00, -1000.00, -1000.00"
99.92,1735.645,0.58,1,5.12,0.1,"-1000.00, -1000.00, -1000.00"
100.28,1741.845,0.43,11,5.83,0.1,"-1000.00, -1000.00, -1000.00"
99.89,1735.167,1.2,1,3,1.4,"-1000.00, -1000.00, -1000.00"
