input filename,count,PD number,start idx,end idx,Grouping_Envelope_Analysis,Energy_A5,Energy_D5,Energy_D4,Energy_D3,Energy_D2,Energy_D1,PC1,PC2,PC3,Simple PCA Feature Cluster ID
Ch1.csv,1,incision,0,6300,1,0.8574768896171064,0.0938170252842264,0.0179058765647981,0.0177505918566372,0.0121462850755761,0.0009033316016556,0.302398311598943,0.0500867027930819,-0.0216431400042455,1
Ch1.csv,2,incision,6301,12601,2,0.7989095386192104,0.0720439432768197,0.0408250017199812,0.0521152209459165,0.0338547825209377,0.0022515129171343,0.2418760766828576,0.0042545220851752,-0.0044721360553736,2
Ch1.csv,3,incision,12602,18902,3,0.769597263592898,0.1351712066993874,0.0344357478420759,0.0358852835256567,0.0229719921790848,0.0019385061608968,0.2025079236211359,0.0589855885730847,-0.0311850674070368,3
Ch1.csv,4,void,18903,25203,4,0.5565016081687325,0.2114755454943766,0.1527302476590742,0.0565250365805122,0.0211487945426738,0.0016187675546304,-0.0424593494112058,0.0970200224894278,0.0336135143107376,4
Ch1.csv,5,void,25204,31504,5,0.7903530830341757,0.1054427419131116,0.0784834895553687,0.0181388891666204,0.0071277993219517,0.0004539970087714,0.2253253291765755,0.0608898301654709,0.0259769041321418,5
Ch1.csv,6,void,31505,37805,6,0.589697413982605,0.2122536846900285,0.1422666928647622,0.0394430243039803,0.0152773750377416,0.0010618091208824,-0.0065516417836818,0.110743528858432,0.0287572406631474,6
Ch2.csv,1,incision,0,6300,4,0.8292557156401111,0.0440886382335216,0.0369863344984582,0.0474146272994306,0.0399392125810577,0.0023154717474207,0.2784688070200091,-0.0138917821250058,0.0032133846274564,2
Ch2.csv,2,incision,6301,12601,6,0.6607092240537887,0.0493851818494951,0.0697039339280202,0.1119635536368808,0.1008791849164544,0.0073589216153609,0.0980901749057594,-0.0835391202153638,0.0013035673417652,6
Ch2.csv,3,incision,12602,18902,2,0.7102569853361786,0.0742405250446824,0.0536060034569792,0.0812576777276761,0.0752006091212399,0.0054381993132434,0.1478659684884368,-0.0354533046203722,-0.0108505974359419,3
Ch2.csv,4,void,18903,25203,3,0.4981969022121259,0.2275565704222168,0.0928222511556038,0.0962826078681295,0.080450199440476,0.0046914689014479,-0.1010297380729752,0.0483427657321572,-0.046830566131431,4
Ch2.csv,5,void,25204,31504,5,0.8015710455831281,0.0848611640007142,0.0466703406593467,0.0401235445616887,0.0254405008062125,0.0013334043889096,0.2424018333791038,0.0242257915519304,-0.0007378090022566,1
Ch2.csv,6,void,31505,37805,1,0.624323374900766,0.1336720539955052,0.0941990169444445,0.0825259407410459,0.0611772579130008,0.0041023555052376,0.0451570553346549,0.0094607620854614,0.001921649262636,5
Ch3.csv,1,incision,0,6300,6,0.7608208849995141,0.0433340877608411,0.0494271709012986,0.0778797832938024,0.0640082142849749,0.0045298587595686,0.2055951478595986,-0.0460880682469146,0.0024870180171035,1
Ch3.csv,2,incision,6301,12601,5,0.5294527155617385,0.0505521042429019,0.1069019461095931,0.166409028504917,0.1366563093848516,0.0100278961959978,-0.0434249878358462,-0.1349442100203034,0.0136550318792412,4
Ch3.csv,3,incision,12602,18902,3,0.6120784152666052,0.0545510737083926,0.0816748989236906,0.1302357252848849,0.1149928435488069,0.0064670432676196,0.0448925081374413,-0.0988039389197935,0.0024354429660958,2
Ch3.csv,4,void,18903,25203,2,0.2784521251001441,0.2972684479689496,0.1933742542796773,0.1309433119279748,0.0944070976731178,0.0055547630501361,-0.3505832131976381,0.0646184441701465,-0.0008717949109398,6
Ch3.csv,5,void,25204,31504,4,0.5304133299588671,0.2048587546191606,0.1274293302494202,0.0781789018612669,0.054953317232196,0.004166366079089,-0.0665346373345842,0.0601039436252158,0.0021001650907084,3
Ch3.csv,6,void,31505,37805,1,0.301782337016052,0.2893667828033212,0.1949901777830094,0.1199634290763976,0.088813034350408,0.0050842389708117,-0.324866884990608,0.0694267356922632,0.00715441644344,5
Ch4.csv,1,incision,0,6300,3,0.587657294087432,0.0930019639030527,0.1073871768144323,0.1104976168602644,0.0960848990004396,0.0053710493343788,0.0116589933511483,-0.0520995894931418,0.0162012373966549,2
Ch4.csv,2,incision,6301,12601,6,0.3901529886221634,0.098553093159882,0.1302505273411209,0.2045586229731476,0.1648228208200431,0.0116619470836428,-0.1990255202207436,-0.1435562923674759,-0.0009604170429579,4
Ch4.csv,3,incision,12602,18902,5,0.4135825954746991,0.1236734739445255,0.1333261195104489,0.1770603918456736,0.1438913715178381,0.0084660477068145,-0.1783964788610322,-0.0994513445640211,0.0011812354560676,3
Ch4.csv,4,void,18903,25203,1,0.2369886139157025,0.2636812186780071,0.195542966252455,0.1792842852039231,0.117634181734723,0.0068687342151891,-0.3902292401083846,0.0021843726327401,0.0011944179054383,6
Ch4.csv,5,void,25204,31504,4,0.5834636897702542,0.1584297013399293,0.1057987875966545,0.0847644683433904,0.0639852201495439,0.0035581328002275,-0.0024060588800264,0.0221063364701025,5.312836484925947e-05,1
Ch4.csv,6,void,31505,37805,2,0.282595294046687,0.2750294008072639,0.1661336546685355,0.1531457194026663,0.1148523704150678,0.0082435606597792,-0.3407303788589395,0.0253783036477024,-0.0236968258673005,5
