Filename,Energy_A5,Energy_D5,Energy_D4,Energy_D3,Energy_D2,Energy_D1,PC1,PC2,PC3
17kV_Incision000_Ch1_Isolated_001.csv,0.397185891176868,0.0434563301312031,0.0082940562326619,0.0082221278857363,0.0056261960183967,0.0004184259326126,0.15886869343597715,-0.027115388412261073,-0.026496602551686944
17kV_Incision000_Ch2_Isolated_001.csv,0.5799039126485313,0.0308314713215202,0.0258647841499976,0.0331573570964021,0.0279297509887871,0.0016192244450433,0.3408853436279973,-0.0340454423043159,0.013701049716173374
17kV_Incision000_Ch3_Isolated_001.csv,0.3239688854525135,0.0184523011799158,0.02104682689931,0.0331623738128489,0.0272556527437101,0.0019288814522957,0.08462815282477522,-0.03613382865094092,0.01145936849870127
17kV_Incision000_Ch4_Isolated_001.csv,0.1746881371279563,0.0276459426045149,0.0319221186529723,0.0328467340414333,0.0285623818191174,0.0015966084520434,-0.06395332749835118,-0.016499428723626128,0.009914345448687585
17kV_Incision001_Ch1_Isolated_002.csv,0.1317095976211333,0.011877288130055,0.0067304798472104,0.0085918047650133,0.0055813575478024,0.0003711882835534,-0.1076650090708293,-0.043815278385454355,-0.023856725517016893
17kV_Incision001_Ch2_Isolated_001.csv,0.1880713062173477,0.0140575238245193,0.0198412696918292,0.0318704976631444,0.0287153249669697,0.0020947217780015,-0.05133738121379462,-0.03479401880968886,0.010314074111413201
17kV_Incision001_Ch3_Isolated_001.csv,0.1025655659717795,0.0097929522889245,0.0207090421560724,0.0322367525744243,0.0264730566180985,0.0019426037842822,-0.13690159765321977,-0.03442277038321131,0.008918571655412441
17kV_Incision001_Ch4_Isolated_001.csv,0.0680826967349546,0.0171977674132183,0.0227290509393517,0.0356960041279806,0.0287620047830983,0.0020350396633861,-0.1710436357974298,-0.025098455439305577,0.01124589345412788
17kV_Incision002_Ch1_Isolated_001.csv,0.1706582276553575,0.0299742211369868,0.0076361286256134,0.0079575632283408,0.0050940402941312,0.0004298638279626,-0.06798893008053124,-0.02944086276191936,-0.027560922112497666
17kV_Incision002_Ch2_Isolated_001.csv,0.2507922812727463,0.026214385811397,0.0189283205578432,0.0286921477563558,0.0265533922284328,0.0019202323101949,0.011836275134194574,-0.027798133846650384,0.004921301618098743
17kV_Incision002_Ch3_Isolated_001.csv,0.1451298226931359,0.0129345970345495,0.0193659232275197,0.0308801735978134,0.0272659361594194,0.0015333996745656,-0.09427319107016371,-0.034303390734264416,0.008198181053928881
17kV_Incision002_Ch4_Isolated_001.csv,0.080476036581544,0.0240647240048937,0.0259429622725856,0.0344528970203888,0.0279987780064755,0.0016473467994288,-0.158316270850378,-0.018283240392481127,0.009157563356116442
8kV_Void000_Ch1_Isolated_001.csv,0.1546506284102111,0.0587686100525721,0.0424434151330635,0.0157081889787386,0.0058772055967739,0.0004498521044664,-0.08226741240804708,0.013902077971885815,-0.021960045673651424
8kV_Void000_Ch2_Isolated_001.csv,0.1854544076907227,0.0847082123481684,0.0345531968026015,0.0358413188316036,0.0299476853821971,0.0017464050508026,-0.05082626110181453,0.03416290426307217,0.002117270463654578
8kV_Void000_Ch3_Isolated_001.csv,0.0789951269205035,0.0843332000728053,0.0548590669023876,0.0371477988951289,0.0267827033469476,0.0015758515471951,-0.15684385557450495,0.048269914258134754,0.002820063564785514
8kV_Void000_Ch4_Isolated_001.csv,0.0559354550218464,0.0622356015496829,0.0461532080083106,0.0423157378974967,0.0277647156660226,0.0016211992947787,-0.18096168507394816,0.026494669757199014,0.009854225943953519
8kV_Void001_Ch1_Isolated_001.csv,0.646825444350728,0.0862944041790476,0.0642309356357024,0.0148448779375743,0.0058333953047475,0.0003715514283883,0.4108970046659995,0.027058185113816552,-0.017859063012983047
8kV_Void001_Ch2_Isolated_001.csv,0.8174978231462195,0.0865473088411895,0.047597654761535,0.0409207774118498,0.0259459896205439,0.0013598984036583,0.5808689495651418,0.015366132983725625,0.013520643931675035
8kV_Void001_Ch3_Isolated_001.csv,0.258465322553902,0.099825704031115,0.062095089028585,0.0380958281875178,0.026778223814488,0.0020302301840583,0.02319485385065381,0.05759651344269927,0.004037651501120216
8kV_Void001_Ch4_Isolated_001.csv,0.2641109193145113,0.0717148552707511,0.0478909237102927,0.0383695199065324,0.0289635766758539,0.001610625890501,0.02742756054865296,0.0262096571635856,0.009075597156085769
8kV_Void002_Ch1_Isolated_001.csv,0.1990191254372394,0.0716342681792515,0.048014103710532,0.0133117697575819,0.0051560168772891,0.0003583538228396,-0.03730767349119459,0.025557389910663003,-0.02521349695260657
8kV_Void002_Ch2_Isolated_001.csv,0.273339648758192,0.0585239537022381,0.0412419704917408,0.0361312943940026,0.0267844691744673,0.0017960827000288,0.03602142597481449,0.010856053631104291,0.0077713708044837215
8kV_Void002_Ch3_Isolated_001.csv,0.09046655130729,0.0867446887778249,0.0584530198064107,0.0359619380605469,0.0266238541601257,0.001524123546326,-0.1452201678416266,0.05146764136035181,0.002118801045382752
8kV_Void002_Ch4_Isolated_001.csv,0.0671385459062604,0.0653410528790306,0.0394697726236572,0.036384119371657,0.0272864456910628,0.0019584921881119,-0.16972186090237315,0.024809098987881698,0.0038008824966415766
