"Record Length",1000000,"Points",-5.02980000e-005,-6.85453416e-009
"Sample Interval",1.00000000e-010,s,-5.02979000e-005,-2.50006858e-004
"Trigger Point",502980,"Samples",-5.02978000e-005,-6.85453416e-009
"Trigger Time",8.31373650e-011,s,-5.02977000e-005,-1.18750687e-003
"",,,-5.02976000e-005,-4.00000691e-003
"Horizontal Offset",-5.02980000e-005,s,-5.02975000e-005,-5.87500694e-003
,,,-5.02974000e-005,-4.00000691e-003
,,,-5.02973000e-005,8.12493158e-004
,,,-5.02972000e-005,3.99999321e-003
,,,-5.02971000e-005,2.70311819e-003
