Group,TDOA_21,TDOA_31,TDOA_41,Actual_X,Actual_Y,Actual_Z,PSO_X,PSO_Y,PSO_Z,PSO_Percentage_Error,PSO_Euclidean_Error,cluster (PSO -> DBSCAN),cluster (DBSCAN -> PSO)
1,3.1700000000000006e-08,-2.4599999999999995e-08,-3.37e-08,-1000.0,-1000.0,-1000.0,1.0,11.0,1.43,100.16,1739.825,0,-1
2,8.24e-08,-2.4600000000000002e-08,2.1200000000000005e-08,3.7,7.0,0.1,1.0,3.0,1.4,99.89,1735.167,-1,-1
3,-8.999999999999998e-09,-5.2e-09,2.5700000000000005e-08,-1000.0,-1000.0,-1000.0,1.0,0.5,1.6,195.6,7.197,-1,-1
4,1.63e-08,1.6940000000000002e-07,-3.332e-07,-1000.0,-1000.0,-1000.0,1.0,6.84,1.37,100.02,1737.37,-1,-1
5,-1.7899999999999998e-08,-3.28e-08,-1.59e-08,3.7,5.0,0.1,1.0,9.3,0.1,100.06,1738.07,-1,-1
6,-1.7000000000000003e-09,-2.1799999999999997e-08,-2.0399999999999997e-08,-1000.0,-1000.0,-1000.0,1.0,11.0,1.3,100.16,1739.75,0,-1
