Group,TDOA_21,TDOA_31,TDOA_41,Actual_X,Actual_Y,Actual_Z,PSO_X,PSO_Y,PSO_Z,PSO_Percentage_Error,PSO_Euclidean_Error,cluster (PSO -> DBSCAN),cluster (DBSCAN -> PSO)
1,-1.5999999999999998e-08,-1.4699999999999994e-08,-3.47e-08,-1000,-1000,-1000,1.0,11.0,1.99,100.18,1740.143,0,-1
2,-1.1699999999999996e-08,-4.9999999999999985e-09,-2.53e-08,-1000,-1000,-1000,1.0,2.99,1.4,136.11,5.008,1,-1
3,2.0499999999999998e-08,7.099999999999998e-09,4.17e-08,-1000,-1000,-1000,1.0,11.0,2.95,100.21,1740.696,0,-1
4,2.5299999999999998e-08,-2.92e-08,-2.3699999999999997e-08,-1000,-1000,-1000,1.0,5.12,0.1,99.92,1735.645,-1,-1
5,-3.999999999999998e-09,-2.1100000000000004e-08,1.1400000000000003e-08,-1000,-1000,-1000,11.0,5.83,0.1,100.28,1741.845,-1,-1
6,-1.7000000000000003e-09,2.8700000000000002e-08,-3.3090000000000003e-07,-1000,-1000,-1000,1.0,3.0,1.4,99.89,1735.167,1,-1
