"Record Length",1000000,"Points",-5.02980000e-005,4.00000185e-003
"Sample Interval",1.00000000e-010,s,-5.02979000e-005,5.75000187e-003
"Trigger Point",502980,"Samples",-5.02978000e-005,8.00000191e-003
"Trigger Time",1.99999986e-013,s,-5.02977000e-005,9.62500193e-003
"",,,-5.02976000e-005,1.20000020e-002
"Horizontal Offset",-5.02980000e-005,s,-5.02975000e-005,1.51718770e-002
,,,-5.02974000e-005,1.60000020e-002
,,,-5.02973000e-005,1.32656270e-002
,,,-5.02972000e-005,1.20000020e-002
,,,-5.02971000e-005,1.45000020e-002
