"Record Length",1000000,"Points",-5.02980000e-005,3.99999321e-003
"Sample Interval",1.00000000e-010,s,-5.02979000e-005,2.81249319e-003
"Trigger Point",502980,"Samples",-5.02978000e-005,-6.85453416e-009
"Trigger Time",1.99999992e-013,s,-5.02977000e-005,-3.51563191e-003
"",,,-5.02976000e-005,-4.00000691e-003
"Horizontal Offset",-5.02980000e-005,s,-5.02975000e-005,-4.68818552e-005
,,,-5.02974000e-005,3.99999321e-003
,,,-5.02973000e-005,3.67186820e-003
,,,-5.02972000e-005,-6.85453416e-009
,,,-5.02971000e-005,-2.09375689e-003
