time (s), MPD 600 1.1 (V)
-1.31719e-05, -8.8136e-05
-1.31563e-05, -8.83045e-05
-1.31406e-05, -8.25748e-05
-1.3125e-05, -7.19581e-05
-1.31094e-05, -5.78024e-05
-1.30938e-05, -4.19615e-05
-1.30781e-05, -2.57836e-05
-1.30625e-05, -1.04482e-05
-1.30469e-05, 3.87596e-06
-1.30313e-05, 1.7189e-05
-1.30156e-05, 2.9154e-05
-1.3e-05, 3.94337e-05
-1.29844e-05, 4.73541e-05
-1.29688e-05, 5.22412e-05
-1.29531e-05, 5.34209e-05
-1.29375e-05, 5.0219e-05
-1.29219e-05, 4.29726e-05
-1.29063e-05, 3.21873e-05
-1.28906e-05, 1.85372e-05
-1.2875e-05, 3.20188e-06
-1.28594e-05, -1.2302e-05
-1.28438e-05, -2.71317e-05
-1.28281e-05, -4.02763e-05
-1.28125e-05, -5.08931e-05
-1.27969e-05, -5.8645e-05
-1.27813e-05, -6.37006e-05
-1.27656e-05, -6.58913e-05
-1.275e-05, -6.55543e-05
-1.27344e-05, -6.33635e-05
-1.27188e-05, -5.93191e-05
-1.27031e-05, -5.35894e-05
-1.26875e-05, -4.65115e-05
-1.26719e-05, -3.80855e-05
-1.26563e-05, -2.81429e-05
-1.26406e-05, -1.73576e-05
-1.2625e-05, -5.8982e-06
-1.26094e-05, 5.22412e-06
-1.25938e-05, 1.51668e-05
-1.25781e-05, 2.29187e-05
-1.25625e-05, 2.83114e-05
-1.25469e-05, 3.08392e-05
-1.25313e-05, 3.08392e-05
-1.25156e-05, 2.86484e-05
-1.25e-05, 2.4941e-05
-1.24844e-05, 1.95483e-05
-1.24688e-05, 1.31446e-05
-1.24531e-05, 5.39264e-06
-1.24375e-05, -3.3704e-06
-1.24219e-05, -1.2976e-05
-1.24063e-05, -2.30872e-05
-1.23906e-05, -3.28614e-05
-1.2375e-05, -4.16245e-05
-1.23594e-05, -4.81967e-05
-1.23438e-05, -5.20727e-05
-1.23281e-05, -5.29153e-05
-1.23125e-05, -5.12301e-05
-1.22969e-05, -4.75227e-05
-1.22813e-05, -4.22985e-05
-1.22656e-05, -3.62318e-05
-1.225e-05, -2.98281e-05
-1.22344e-05, -2.30872e-05
-1.22188e-05, -1.60094e-05
-1.22031e-05, -8.59452e-06
-1.21875e-05, -1.34816e-06
-1.21719e-05, 5.56116e-06
-1.21563e-05, 1.17964e-05
-1.21406e-05, 1.7189e-05
-1.2125e-05, 2.15706e-05
-1.21094e-05, 2.54465e-05
-1.20938e-05, 2.88169e-05
-1.20781e-05, 3.20188e-05
-1.20625e-05, 3.47151e-05
-1.20469e-05, 3.65689e-05
-1.20313e-05, 3.72429e-05
-1.20156e-05, 3.60633e-05
-1.2e-05, 3.26929e-05
-1.19844e-05, 2.74688e-05
-1.19688e-05, 2.0728e-05
-1.19531e-05, 1.31446e-05
-1.19375e-05, 5.39264e-06
-1.19219e-05, -2.19076e-06
-1.19063e-05, -9.2686e-06
-1.18906e-05, -1.55038e-05
-1.1875e-05, -2.1065e-05
-1.18594e-05, -2.54465e-05
-1.18438e-05, -2.81429e-05
-1.18281e-05, -2.84799e-05
-1.18125e-05, -2.59521e-05
-1.17969e-05, -1.98854e-05
-1.17813e-05, -1.06168e-05
-1.17656e-05, 1.85372e-06
-1.175e-05, 1.63464e-05
-1.17344e-05, 3.16818e-05
-1.17187e-05, 4.61745e-05
-1.17031e-05, 5.84765e-05
-1.16875e-05, 6.72395e-05
-1.16719e-05, 7.1621e-05
-1.16562e-05, 7.11155e-05
-1.16406e-05, 6.60599e-05
-1.1625e-05, 5.69598e-05
-1.16094e-05, 4.49949e-05
-1.15937e-05, 3.10077e-05
-1.15781e-05, 1.66835e-05
-1.15625e-05, 3.20188e-06
-1.15469e-05, -8.08896e-06
-1.15312e-05, -1.61779e-05
-1.15156e-05, -2.02224e-05
-1.15e-05, -2.02224e-05
-1.14844e-05, -1.66835e-05
-1.14687e-05, -9.94268e-06
-1.14531e-05, -1.34816e-06
-1.14375e-05, 8.59452e-06
-1.14219e-05, 1.87057e-05
-1.14062e-05, 2.83114e-05
-1.13906e-05, 3.64003e-05
