frequency (Hz),MPD 600 1.1 (dBm)
8.09375e+06,-128.188
8.125e+06,-125.256
8.15625e+06,-123.554
8.1875e+06,-123.306
8.21875e+06,-123.744
8.25e+06,-124.404
8.28125e+06,-124.903
8.3125e+06,-125.259
8.34375e+06,-126.205
8.375e+06,-127.477
8.40625e+06,-128.039
8.4375e+06,-128.753
8.46875e+06,-130.454
8.5e+06,-131.898
8.53125e+06,-133.1
8.5625e+06,-135.947
8.59375e+06,-140.914
8.625e+06,-146.829
8.65625e+06,-155.856
8.6875e+06,-141.34
8.71875e+06,-137.681
8.75e+06,-137.907
8.78125e+06,-140.485
8.8125e+06,-140.651
8.84375e+06,-136.491
8.875e+06,-136.269
8.90625e+06,-138.809
8.9375e+06,-140.794
8.96875e+06,-139.611
9e+06,-138.929
9.03125e+06,-139.806
9.0625e+06,-139.337
9.09375e+06,-136.375
9.125e+06,-133.943
9.15625e+06,-133.637
9.1875e+06,-135.284
9.21875e+06,-137.788
9.25e+06,-139.996
9.28125e+06,-141.513
9.3125e+06,-139.831
9.34375e+06,-137.1
9.375e+06,-136.075
9.40625e+06,-136.143
9.4375e+06,-136.841
9.46875e+06,-139.123
9.5e+06,-145.067
9.53125e+06,-157.901
9.5625e+06,-156.778
9.59375e+06,-151.463
9.625e+06,-149.184
9.65625e+06,-148.966
9.6875e+06,-148.514
9.71875e+06,-150.466
9.75e+06,-157.81
9.78125e+06,-148.319
9.8125e+06,-144.738
9.84375e+06,-144.534
9.875e+06,-145.268
9.90625e+06,-146.969
9.9375e+06,-147.784
9.96875e+06,-147.976
1e+07,-149.907
1.00313e+07,-150.27
1.00625e+07,-150.357
1.00938e+07,-152.163
1.0125e+07,-154.785
1.01563e+07,-154.507
1.01875e+07,-151.981
1.02188e+07,-151.376
1.025e+07,-154.74
1.02813e+07,-163.015
1.03125e+07,-164.863
1.03438e+07,-166.75
1.0375e+07,-176.096
1.04063e+07,-161.71
1.04375e+07,-159.326
1.04688e+07,-158.183
1.05e+07,-155.668
1.05313e+07,-156.299
1.05625e+07,-159.815
1.05938e+07,-159.324
1.0625e+07,-157.535
1.06563e+07,-159.981
1.06875e+07,-167.76
1.07188e+07,-164.407
1.075e+07,-160.131
1.07813e+07,-158.423
1.08125e+07,-159.55
1.08438e+07,-161.775
1.0875e+07,-160.201
1.09063e+07,-159.402
1.09375e+07,-162.142
1.09688e+07,-167.86
1.1e+07,-165.399
1.10313e+07,-161.969
1.10625e+07,-159.92
1.10938e+07,-159.605
1.1125e+07,-161.268
1.11563e+07,-162.751
1.11875e+07,-162.042
1.12188e+07,-161.743
1.125e+07,-162.549
1.12813e+07,-162.481
1.13125e+07,-162.684
