"Record Length",1000000,"Points",-5.02980000e-005,5.99999756e-003
"Sample Interval",1.00000000e-010,s,-5.02979000e-005,5.78906005e-003
"Trigger Point",502980,"Samples",-5.02978000e-005,3.99999753e-003
"Trigger Time",2.04852615e-011,s,-5.02977000e-005,1.74999749e-003
"",,,-5.02976000e-005,-2.53319740e-009
"Horizontal Offset",-5.02980000e-005,s,-5.02975000e-005,-1.05469005e-003
,,,-5.02974000e-005,-2.00000256e-003
,,,-5.02973000e-005,-2.50781507e-003
,,,-5.02972000e-005,-2.00000256e-003
,,,-5.02971000e-005,-4.68775339e-005
