"Record Length",1000000,"Points",-5.02980000e-005,-6.07813940e-003
"Sample Interval",1.00000000e-010,s,-5.02979000e-005,-8.00001442e-003
"Trigger Point",502980,"Samples",-5.02978000e-005,-8.37501443e-003
"Trigger Time",7.65619575e-011,s,-5.02977000e-005,-8.00001442e-003
"",,,-5.02976000e-005,-6.71876441e-003
"Horizontal Offset",-5.02980000e-005,s,-5.02975000e-005,-4.00001436e-003
,,,-5.02974000e-005,-5.00014313e-004
,,,-5.02973000e-005,-1.43051148e-008
,,,-5.02972000e-005,-2.85938935e-003
,,,-5.02971000e-005,-4.00001436e-003
